glucose,eda,hr,temp
117.0,0.315997,79.82,33.55
117.0,0.254847,82.53,33.55
117.0,0.2746965,75.72,34.84
117.0,0.3188785,79.42,34.73
117.0,0.3246415,75.98,34.73
116.0,0.33296575,73.92,34.73
110.0,0.31087475,69.37,34.68
107.0,0.32047925,71.15,34.91
105.0,0.3294439999999999,70.63,35.09
105.0,0.33520675,70.37,35.15
106.0,0.340009,70.62,35.09
107.0,0.344491,69.28,35.25
107.0,0.3499342499999999,70.12,35.31
109.0,0.43029425,69.77,35.31
112.0,0.6047809999999999,68.87,35.34
115.0,0.94512575,69.0,35.41
114.0,0.31722425,70.25,33.79
112.0,0.24807,70.83,33.63
112.0,0.2288602499999999,69.93,33.55
113.0,0.21925575,66.88,33.49
114.0,0.2154134999999999,68.47,33.45
115.0,0.2118917499999999,66.98,33.45
116.0,0.2032477499999999,70.58,33.43
116.0,0.343851,60.83,34.23
116.0,0.20906375,69.95,34.03
115.0,0.32144,51.6,34.39
115.0,0.3572977499999999,56.72,34.61
116.0,0.343531,81.1,34.41
118.0,0.37746775,55.45,34.0
118.0,0.3989185,58.1,34.25
117.0,0.42517125,55.45,34.39
116.0,0.4434205,56.83,34.49
115.0,0.450144,62.62,34.47
113.0,0.4527055,57.65,34.55
113.0,0.4597487499999999,62.47,34.59
114.0,0.4632707499999999,63.25,34.55
115.0,0.233983,51.9,35.03
115.0,0.22085675,55.05,34.95
115.0,0.22021625,57.42,34.61
115.0,0.2208565,61.4,34.18
115.0,0.2282197499999999,60.03,33.68
114.0,0.40308025,51.3,32.93
115.0,0.19684425,54.78,33.93
117.0,0.36524825,57.9,33.73
116.0,0.38093625,59.27,33.84
116.0,0.3927819999999999,62.33,34.03
115.0,0.4059085,62.58,34.23
116.0,0.42031575,61.93,34.37
116.0,0.8064275000000001,62.78,34.49
115.0,7.06845375,53.78,35.05
114.0,1.4708052500000002,51.62,34.87
112.0,0.57758275,54.97,34.73
108.0,0.44208675,54.87,34.55
104.0,0.3623667499999999,55.72,34.45
102.0,0.32810975,54.83,34.33
103.0,0.306659,52.55,34.21
109.0,0.0883105,55.42,34.21
108.0,0.4437405,51.92,34.33
107.0,0.174807,66.55,31.79
111.0,0.1565579999999999,73.22,30.29
140.0,0.1840915,80.38,28.89
107.0,0.1514355,59.02,29.85
139.0,0.22059,64.98,32.66
131.0,0.2529254999999999,61.72,33.45
123.0,0.277258,57.13,33.77
104.0,0.26637275,62.07,34.91
97.0,0.2801395,59.23,34.41
139.0,0.2337165,58.2,33.95
134.0,0.13574775,61.35,31.97
131.0,0.1895339999999999,54.58,32.21
126.0,0.2414,51.27,32.81
127.0,0.2862225,57.62,33.25
137.0,0.32079975,64.98,33.16
141.0,0.331685,61.1,33.83
144.0,0.354416,55.63,33.5
147.0,0.3784285,59.17,33.45
148.0,0.38963375,60.68,33.53
147.0,0.40051925,60.45,33.66
147.0,0.40756275,59.65,33.79
147.0,0.416207,60.95,33.93
146.0,0.42229025,56.88,33.95
144.0,0.43253525,60.83,34.18
141.0,2.6225005,59.98,34.31
136.0,0.80297525,59.62,34.41
130.0,0.5656680000000001,61.57,34.55
120.0,0.312102,57.35,35.31
122.0,0.32330775,58.55,35.34
126.0,0.26087625,63.2,35.43
130.0,0.27080125,57.05,35.31
130.0,0.39219525,53.33,35.23
130.0,0.26279725,53.38,35.07
129.0,0.26375775,54.02,34.84
128.0,0.4770375,51.85,35.27
128.0,0.2832877499999999,53.08,35.0
129.0,0.21733475,53.17,35.33
128.0,0.21861525,52.28,35.34
126.0,0.6085695,51.35,35.39
124.0,1.61967975,55.17,35.43
124.0,2.46914375,54.67,35.45
123.0,3.39860575,54.45,35.39
121.0,3.3784355,55.63,35.33
115.0,6.3256655,51.25,35.18
115.0,2.37789875,53.37,35.33
118.0,1.88957375,51.3,35.33
122.0,1.0752095000000002,59.82,35.29
123.0,0.5801445000000001,48.98,35.23
124.0,0.56278625,61.55,34.87
124.0,0.38002925,48.28,33.97
124.0,0.4664717499999999,51.28,33.95
124.0,0.50489125,52.27,34.27
124.0,0.50200975,56.18,34.37
125.0,0.5189779999999999,58.88,34.55
126.0,0.5295435,53.85,34.71
126.0,0.5516345,58.88,34.87
127.0,0.625271,61.77,34.99
128.0,1.1999725,61.87,35.11
130.0,4.48403925,63.3,35.13
130.0,2.4681835000000003,52.28,35.0
128.0,1.078091,54.53,35.25
127.0,0.6076779999999999,54.65,35.25
124.0,0.44438125,53.6,34.91
125.0,0.480559,52.0,35.03
126.0,0.30057575,52.73,34.91
127.0,0.386112,54.5,35.16
128.0,0.4735155,56.48,35.37
126.0,0.28072625,51.52,35.31
124.0,0.3252285,53.3,35.47
121.0,4.07225375,61.37,35.37
118.0,4.8650287500000005,52.43,35.07
115.0,1.55756875,55.43,35.16
118.0,0.8887780000000001,52.5,35.25
125.0,0.64794875,51.27,35.43
167.0,0.4247979999999999,55.25,34.93
165.0,0.35468325,52.13,34.89
155.0,0.2973745,52.68,34.89
146.0,0.48888325,52.72,34.84
126.0,0.2567677499999999,63.07,32.07
118.0,0.27949875,60.2,29.11
123.0,0.0941267499999999,71.4,30.19
118.0,0.3624202499999999,66.22,31.37
140.0,0.1898542499999999,64.15,29.67
128.0,0.2321154999999999,58.72,30.03
105.0,0.05890925,56.23,30.97
94.0,0.10149025,56.27,30.43
99.0,0.1274232499999999,54.62,30.27
115.0,0.1837714999999999,54.8,30.93
125.0,0.1732062499999999,61.92,31.35
102.0,0.32554875,81.77,33.39
116.0,0.22091,58.23,32.29
118.0,0.2468429999999999,73.72,33.27
118.0,0.340329,56.9,34.13
117.0,0.3624202499999999,57.3,34.53
118.0,0.2759775,56.55,35.0
120.0,0.2532457499999999,58.2,34.84
121.0,0.2510047499999999,55.67,34.93
122.0,0.2545267499999999,61.98,34.97
123.0,0.2570877499999999,65.53,34.77
122.0,0.32015925,63.55,34.91
122.0,0.36786275,62.58,35.16
124.0,0.31215525,55.73,34.49
125.0,0.3713847499999999,60.97,34.65
125.0,0.3653019999999999,62.58,35.18
125.0,0.3912347499999999,63.53,35.31
125.0,0.4117245,64.17,35.27
126.0,0.36626225,62.48,35.13
127.0,0.31087475,58.25,35.27
126.0,0.323681,60.68,35.37
124.0,0.3268824999999999,61.83,35.41
122.0,0.33200525,60.25,35.45
121.0,0.33456625,60.65,35.47
120.0,0.35569675,61.17,35.5
121.0,0.40500125,60.07,35.49
122.0,0.57079075,60.33,35.49
124.0,1.3342182500000002,59.78,35.47
125.0,2.0214795,60.15,35.41
126.0,1.94592175,59.72,35.47
126.0,0.95537075,55.63,35.13
125.0,0.664026,63.48,35.15
124.0,0.51098975,61.75,35.07
123.0,0.556063,59.78,34.91
122.0,0.4968337499999999,60.03,34.93
122.0,0.4881894999999999,62.97,34.99
122.0,0.39598375,54.93,35.03
121.0,0.3735725,59.0,35.03
122.0,0.38605825,54.7,35.07
122.0,0.3886199999999999,57.78,35.07
121.0,0.4017465,58.77,35.09
120.0,0.4174339999999999,62.78,35.15
120.0,0.4472089999999999,63.35,35.18
120.0,0.599285,64.8,35.21
120.0,1.031249,64.38,35.25
120.0,2.0301235,65.07,35.31
119.0,2.6071325,65.75,35.31
118.0,3.1088615,64.92,35.33
118.0,2.907241,65.17,35.29
116.0,2.49635725,56.37,35.39
110.0,6.0804235,51.65,34.87
111.0,1.9238305,55.1,34.89
112.0,0.94288475,51.53,35.09
112.0,0.57534175,54.97,34.83
108.0,0.6268185,52.02,35.07
110.0,0.396624,53.45,34.84
114.0,0.3694102499999999,57.9,34.87
105.0,0.0,115.35,19.43
129.0,0.174167,56.55,30.97
184.0,0.18153025,59.32,30.33
174.0,0.2564472499999999,61.65,29.81
172.0,0.2007397499999999,63.65,29.73
167.0,0.16007975,61.1,29.47
161.0,0.1844117499999999,60.75,29.27
155.0,0.1594395,64.38,29.39
149.0,0.174807,56.45,29.65
100.0,0.03427175,134.57,26.87
131.0,0.53042275,98.23,32.21
156.0,0.8039540000000001,76.28,31.93
158.0,1.51754775,64.65,32.87
123.0,3.2432375,107.75,34.73
137.0,0.75071625,60.62,32.09
112.0,0.95128925,112.22,32.23
124.0,0.0429195,61.13,33.18
122.0,0.0839169999999999,60.07,33.77
118.0,0.09929125,60.87,34.03
116.0,0.11979,62.02,34.27
115.0,0.1463742499999999,64.5,34.45
117.0,0.3145285,62.63,34.57
119.0,0.173226,63.68,34.57
120.0,0.1857169999999999,63.28,34.53
120.0,0.2020524999999999,63.32,34.47
118.0,0.21646575,62.6,34.59
119.0,0.22543375,61.4,34.71
120.0,0.2366439999999999,61.65,34.75
122.0,0.24144825,60.8,34.83
121.0,0.250096,60.75,34.89
120.0,0.2459327499999999,60.23,34.83
119.0,0.247534,61.72,34.95
121.0,0.0429195,57.63,34.16
121.0,0.08712,56.82,34.55
123.0,0.12395375,59.92,34.75
123.0,0.1434919999999999,58.05,34.77
124.0,0.10441575,59.45,34.87
122.0,0.10665825,60.02,34.95
120.0,0.2357367499999999,61.95,35.0
116.0,0.24566575,61.12,34.99
114.0,0.25527425,59.57,34.91
112.0,0.2642425,61.15,34.89
111.0,0.25463375,60.45,34.93
111.0,0.2571965,61.42,35.0
111.0,0.25143125,61.3,34.99
112.0,0.2559147499999999,61.73,35.0
114.0,0.26136,61.07,35.09
115.0,0.260079,62.02,35.11
115.0,0.21491775,59.38,35.11
115.0,0.226768,63.28,35.16
117.0,0.2366977499999999,64.53,35.45
117.0,0.26936725,62.98,35.57
118.0,3.222563,64.28,35.57
120.0,0.4480384999999999,60.77,35.68
120.0,0.373089,60.2,35.73
120.0,0.35739475,60.73,35.77
120.0,0.345864,60.18,35.79
120.0,0.353551,59.45,35.63
117.0,0.2622675,58.12,35.41
109.0,0.19852875,59.35,35.41
102.0,0.207497,59.43,35.47
101.0,0.2657907499999999,60.72,35.47
105.0,0.2363237499999999,58.73,35.41
110.0,0.2792429999999999,60.38,35.41
111.0,0.2773212499999999,59.23,35.34
108.0,0.1889202499999999,57.78,35.34
103.0,0.1857169999999999,57.57,35.29
99.0,0.1572107499999999,56.87,35.27
97.0,0.12037675,56.73,35.23
96.0,0.1034015,57.7,35.15
99.0,0.15432825,65.38,35.05
103.0,0.1953262499999999,55.03,34.99
109.0,0.21838725,60.32,35.16
108.0,0.1879595,55.8,35.34
106.0,0.1751475,56.33,35.27
104.0,0.17066325,53.95,35.05
102.0,0.170343,52.92,34.91
100.0,0.147602,52.18,34.47
100.0,0.1520865,51.55,34.57
100.0,0.16137475,52.0,34.89
100.0,0.1751475,53.8,35.15
101.0,3.9968445,54.72,35.23
102.0,3.80338675,53.93,35.33
103.0,6.976554500000001,55.92,35.39
105.0,8.368979,55.18,35.31
106.0,3.307121,54.7,35.33
107.0,3.97858775,56.63,35.41
105.0,1.0622105,56.38,34.97
104.0,0.526259,52.47,34.49
104.0,0.4992855,53.8,34.71
104.0,0.52330725,51.88,34.91
105.0,0.52330725,52.9,35.09
105.0,0.5040895,52.82,35.25
107.0,0.601208,55.25,33.15
116.0,0.57334225,57.65,32.73
131.0,0.57398275,57.77,32.47
127.0,0.0393987499999999,61.87,33.37
123.0,0.0422812499999999,63.28,33.84
120.0,0.04356275,61.2,34.27
102.0,1.4335175,67.17,33.13
111.0,0.8225807500000001,63.5,33.5
84.0,0.6658785,80.03,31.55
86.0,0.81905725,67.13,32.75
88.0,6.272429499999999,67.2,32.73
93.0,8.410803,69.92,33.39
100.0,1.7112295,79.03,33.41
93.0,1.88952325,87.47,33.75
117.0,2.35889225,72.07,33.29
